# Derived from /data/raw/Snia-binned.txt to include only redshift, magnitude and magnitude error in a .csv format 

zcmb,mb,dmb
0.014,14.57001926,0.0311
0.0194,15.2279603507,0.02645
0.0264,15.934102317,0.0231
0.0329,16.4217829558,0.0235
0.0396,16.836418956,0.02845
0.0475,17.2346439906,0.0334
0.056,17.5758459622,0.03215
0.064,17.9104543501,0.0439
0.0721,18.1780074589,0.03865
0.0811,18.5543855764,0.04225
0.0889,18.7006554037,0.03635
0.1001,19.0388242428,0.03515
0.1071,19.1720185353,0.03355
0.1195,19.3711295152,0.026
0.1278,19.5555026238,0.02635
0.1396,19.8185930766,0.02335
0.1519,19.9445025196,0.0237
0.1635,20.0642537602,0.02585
0.1778,20.3389008923,0.01965
0.1906,20.5047456137,0.02205
0.2067,20.6854007995,0.0214
0.2216,20.8610322507,0.0233
0.2405,21.0518440051,0.0222
0.2558,21.2037930719,0.02025
0.2762,21.3636137766,0.0221
0.2972,21.5790014334,0.0216
0.3215,21.813277279,0.0214
0.3453,21.9665751024,0.0234
0.3708,22.1428940056,0.02145
0.4049,22.3799192408,0.03225
0.4355,22.5579272526,0.0254
0.4738,22.797376642,0.02935
0.5174,23.0011594448,0.02685
0.5742,23.3004345026,0.0245
0.6299,23.5036280324,0.031
0.724,23.8666293039,0.027
0.821,24.2445519795,0.0248
0.9511,24.6411323707,0.0276
1.2336,25.3039940191,0.05635
1.6123,25.9259729107,0.0735
