# event, dL (Gpc), error (Gpc)
GW150914, 0.44, 0.16
GW151012, 1.08, 0.52
GW151226, 0.45, 0.185
GW170104, 0.99, 0.435
GW170608, 0.32, 0.115
GW170729, 2.84, 1.38
GW170809, 1.03, 0.355
GW170814, 0.6, 0.185
GW170817, 0.04, 0.011
GW170818, 1.06, 0.4
GW170823, 1.94, 0.935
GW190408_181802, 1.55, 0.5
GW190412, 0.74, 0.155
GW190413_052954, 3.55, 1.965
GW190413_134308, 4.45, 2.3
GW190421_213856, 2.88, 1.375
GW190424_180648, 2.2, 1.37
GW190425, 0.16, 0.07
GW190426_152155, 0.37, 0.17
GW190503_185404, 1.45, 0.66
GW190512_180714, 1.43, 0.55
GW190513_205428, 2.06, 0.84
GW190514_065416, 4.13, 2.41
GW190517_055101, 1.86, 1.23
GW190519_153544, 2.53, 1.375
GW190521, 3.92, 2.07
GW190521_074359, 1.24, 0.485
GW190527_092055, 2.49, 1.86
GW190602_175927, 2.69, 1.455
GW190620_030421, 2.81, 1.495
GW190630_185205, 0.89, 0.465
GW190701_203306, 2.06, 0.745
GW190706_222641, 4.42, 2.26
GW190707_093326, 0.77, 0.375
GW190708_232457, 0.88, 0.36
GW190719_215514, 3.94, 2.295
GW190720_000836, 0.79, 0.505
GW190727_060333, 3.3, 1.52
GW190728_064510, 0.87, 0.315
GW190731_140936, 3.3, 2.055
GW190803_022701, 3.27, 1.765
GW190814, 0.24, 0.045
GW190828_063405, 2.13, 0.795
GW190828_065509, 1.6, 0.61
GW190909_114149, 3.77, 2.745
GW190910_112807, 1.46, 0.805
GW190915_235702, 1.62, 0.66
GW190924_021846, 0.57, 0.22
GW190929_012149, 2.13, 2.35
GW190930_133541, 0.76, 0.34
